commit	val_bpb	memory_gb	status	description
exp001	3.977780	5.3	keep	baseline
exp002	3.973821	5.4	keep	value embeddings on every layer instead of alternating
exp003	3.975207	5.5	discard	replace plain FFN with parameter-matched SwiGLU MLP while keeping all-layer value embeddings
exp004	3.975371	5.4	discard	reduce short attention window from 256 to 128 so local layers are actually local
exp005	3.972923	5.4	keep	increase global attention frequency from SSSL to alternating SLSL with all-layer value embeddings
exp006	3.972646	5.6	keep	switch default attention layout from alternating SLSL windows to full global attention
exp007	3.977545	5.1	discard	halve attention head dim to 32 for 9-head full attention
exp008	3.974447	5.2	discard	switch default full attention to multi-query with 1 KV head and shared value embeddings
exp009	3.973196	6.5	discard	shift full-attention model to 7 layers with aspect ratio 40 to test a deeper-narrower balance at 320 width
exp010	3.973255	5.6	discard	broaden value-embedding gate from 32 channels to full hidden-state conditioning
exp011	3.974081	6.7	discard	widen full-attention all-value-embed model from 320 to 384 hidden size
