commit	val_bpb	memory_gb	status	description
exp001	0.596456	5.3	keep	baseline
exp002	0.597403	5.3	discard	alternate local/global attention pattern (SLSL)
exp003	0.597594	5.0	discard	grouped-query attention with single shared KV head
exp004	0.608184	5.4	discard	parameter-matched gated MLP
exp005	0.595909	5.6	keep	deeper narrower stack (8 layers, 256-d model)
exp006	0.595684	5.8	keep	full attention in deeper narrower 8-layer stack
exp007	0.593962	5.6	keep	half-width KV heads in 8-layer full-attention stack
exp008	0.597192	5.6	discard	double query head count via 32-d heads in 8-layer half-KV full-attention stack
exp009	0.596352	5.5	discard	disable auxiliary value embeddings in 8-layer half-KV full-attention stack
exp010	0.595815	5.6	discard	value embeddings on every layer in 8-layer half-KV full-attention stack
exp011	2.615399	5.6	discard	tie input/output embeddings in 8-layer half-KV full-attention stack
exp012	0.593494	5.6	keep	switch best 8-layer half-KV full-attention stack to SiLU MLP activation
exp013	0.591429	6.3	keep	deepen best half-KV full-attention SiLU stack to 9 layers at fixed 256-d width
exp014	0.590716	7.0	keep	deepen best half-KV full-attention SiLU stack to 10 layers at fixed 256-d width
exp015	0.593451	7.7	discard	deepen best half-KV full-attention SiLU stack to 11 layers at fixed 256-d width
exp016	0.590039	6.3	keep	reduce best 10-layer full-attention SiLU stack to 4x MLP expansion
exp017	0.589173	5.7	keep	reduce best 10-layer full-attention SiLU stack to 3x MLP expansion
exp018	0.592526	5.6	discard	single KV head in best 10-layer full-attention SiLU 3x-MLP stack
exp019	0.590778	5.7	discard	shift auxiliary value embeddings to even layers in best 10-layer full-attention SiLU 3x-MLP stack
exp020	0.590306	5.1	discard	reduce best 10-layer full-attention SiLU stack to 2x MLP expansion
exp021	0.589729	5.9	discard	full KV heads in best 10-layer full-attention SiLU 3x-MLP stack
exp022	0.589175	5.7	discard	add RMS normalization on hidden MLP activations in best 10-layer full-attention SiLU 3x-MLP stack
exp023	0.597203	8.6	discard	widen best 10-layer half-KV full-attention SiLU 3x-MLP stack to 384-d model
exp024	0.591900	5.7	discard	switch best 10-layer half-KV full-attention 3x-MLP stack to GELU activation
exp025	0.591697	6.0	discard	rebalance exp017 into a deeper narrower 12-layer 224-d half-KV full-attention SiLU 3x-MLP stack
exp026	0.595688	6.4	discard	widen exp017 moderately to a 288-d 6-head half-KV full-attention SiLU 3x-MLP stack
exp027	0.593099	5.7	discard	increase exp017 fixed-width full-attention stack to 8 query heads with 4 KV heads
exp028	0.591644	5.6	discard	remove auxiliary value embeddings from best 10-layer half-KV full-attention SiLU 3x-MLP stack
exp029	0.590038	5.7	discard	switch best 10-layer half-KV full-attention SiLU 3x-MLP stack to a parameter-matched gated MLP
exp030	0.591446	5.7	discard	concentrate auxiliary value embeddings in the upper half of the best 10-layer half-KV full-attention SiLU 3x-MLP stack
exp031	0.589972	5.7	discard	halve the initial auxiliary value-embedding gate in the best 10-layer half-KV full-attention SiLU 3x-MLP stack
exp032	0.588829	6.3	keep	add per-branch attention and MLP residual scalars to best 10-layer half-KV full-attention SiLU 3x-MLP stack
exp033	2.246206	6.4	discard	tie input and output embeddings in best residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack
exp034	0.589495	6.3	discard	reparameterize exp032 attention and MLP residual scalars as bounded positive sigmoid gates
exp035	0.593029	5.9	discard	switch best residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack to parallel residual branches
exp036	0.589331	6.3	discard	add learned per-layer scaling to auxiliary value-embedding branch in exp032 residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack
exp037	0.589340	6.6	discard	switch exp032 residual-scaled 10-layer SiLU 3x-MLP stack from half-KV to full-KV attention
exp038	0.590385	6.3	discard	front-load x0 skip-scalar init in exp032 residual-scaled 10-layer half-KV stack
exp039	0.589448	6.3	discard	add RMS normalization on hidden MLP activations to exp032 residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack
exp040	0.589162	6.3	discard	switch exp032 residual-scaled 10-layer half-KV full-attention SiLU stack to a parameter-matched gated MLP
exp041	0.591499	7.0	discard	promote exp032 attention and MLP residual scalars to per-channel layer scales
exp042	0.591229	6.5	discard	RMS-normalize attention values after auxiliary value injection in residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack
exp043	0.591113	5.7	discard	reduce exp032 residual-scaled 10-layer half-KV full-attention SiLU stack to 2x MLP expansion
exp044	0.589207	6.3	discard	add learnable per-head attention temperatures to the exp032 residual-scaled half-KV full-attention stack
exp045	0.590378	6.2	discard	switch exp032 residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack to quarter-window local attention in lower 4 layers and full attention in upper 6 layers
exp046	0.592640	4.8	discard	narrow exp032 residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack to 192-d while keeping 4Q/2KV heads
exp047	0.580818	6.4	keep	apply auxiliary value embeddings in all layers of the exp032 residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack
exp048	0.589823	7.1	discard	deepen exp047 residual-scaled 10-layer half-KV full-attention SiLU 3x-MLP stack with all-layer auxiliary value embeddings to 11 layers
exp049	0.590761	6.4	discard	let exp047 all-layer auxiliary value-embedding gates read the full hidden state instead of only 32 channels
exp050	0.589229	6.4	discard	shrink exp047 all-layer auxiliary value-embedding gate reader from 32 to 16 hidden channels
